Rk,Player,Nation,Pos,Squad,90s,Cmp,ShortCmp,MedCmp,LongCmp,xAG,xA,KP,1/3P,PPA,CrsPA,SCA,PrgP,SuccTkon,PrgC,1/3C,CPA,PrgR,TcklW,Int
159,Julio Enciso,py PAR,"MF,FW",Brighton,3.3,30,18.5,8.79,1.52,0.06,0.09,1.52,3.94,1.21,0.3,3.69,4.24,3.03,3.33,3.03,1.21,5.15,0,0
160,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,28.8,27,13.2,10.4,2.67,0.22,0.16,2.01,1.7,1.35,0.14,4.69,3.37,2.33,2.36,1.67,0.76,5.31,0.76,0.38
161,Phil Foden,eng ENG,"MF,FW",Manchester City,19.7,40.2,23.8,12.3,3.4,0.24,0.27,2.18,2.08,1.98,0.3,4.46,5.23,0.71,2.54,1.52,0.86,6.5,0.25,0.46
162,Carlos Forbs,pt POR,"MF,FW",Wolves,2.7,22.2,14.4,7.04,0.37,0,0.04,0.37,0.74,1.11,0.37,1.89,2.96,2.59,3.7,1.11,2.96,10.4,1.85,0.37
163,Matheus França,br BRA,"MF,FW",Crystal Palace,0.6,16.7,10,6.67,0,0,0.33,0,1.67,0,0,4.91,5,0,6.67,1.67,5,6.67,0,1.67
165,Brajan Gruda,de GER,"MF,FW",Brighton,7.6,24.6,14.2,6.05,2.37,0.28,0.25,3.03,1.58,1.58,0.13,5.1,3.42,1.71,2.89,2.5,1.71,7.5,1.05,0.26
166,Gonçalo Guedes,pt POR,"MF,FW",Wolves,11.1,23.3,12.3,8.74,1.53,0.12,0.08,1.26,1.62,1.53,0.45,2.71,3.6,0.81,3.69,2.43,0.72,7.12,0.45,0.45
167,Luis Guilherme,br BRA,"MF,FW",West Ham,1.7,34.1,21.8,9.41,2.94,0.06,0.06,1.76,2.94,1.76,1.18,6,2.94,4.12,2.35,1.76,0.59,9.41,0,1.76
168,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,7.3,22.7,15.1,5.89,0.55,0.01,0.04,0.41,0.96,0.55,0.27,1.22,1.64,0.27,2.05,0.68,0.96,5.75,0.55,0.27
169,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,28.7,24,12.3,9.86,1.32,0.12,0.09,1.08,1.57,0.94,0.52,2.82,2.61,1.78,3.38,1.36,1.29,5.54,0.45,0.38
170,Joelinton,br BRA,"MF,FW",Newcastle Utd,26.6,32.4,19.9,10.4,1.24,0.09,0.09,0.86,3.01,0.64,0.08,2.29,4.36,0.56,1.5,0.98,0.34,4.14,1.32,0.86
171,Bilal El Khannouss,ma MAR,"MF,FW",Leicester City,24.2,33,15.4,12.6,4.17,0.19,0.13,1.74,3.68,1.28,0.25,3.22,5.29,1.4,3.02,1.86,0.5,3.68,1.24,0.25
172,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,26.5,24.8,14.9,7.66,1.21,0.23,0.15,2.45,2.34,1.96,0.23,4.82,4.68,1.43,4.53,2.53,1.51,7.92,0.87,0.49
173,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,1.3,58.5,29.2,22.3,4.62,0.08,0,0.77,1.54,0,0,3.03,10,2.31,3.08,2.31,0.77,3.08,0.77,0.77
174,James Mcatee,eng ENG,"MF,FW",Manchester City,3.9,25.6,14.6,10.3,0.77,0.13,0.21,0.77,1.79,0.51,0,1.03,1.79,0.51,1.79,1.54,0.26,8.21,0.51,0.51
